StudentID,Group,Stimuli No,Score
,,,
903391589,2,1,0.782188838
,,,
903391589,2,2,0.526681793
,,,
903391589,2,3,0.579785219
,,,
903421694,0,1,0.72011585
,,,
903421694,0,2,0.319547423
,,,
903421694,0,3,0.409894134
,,,
903292214,2,1,0.7528091
,,,
903292214,2,2,0.616027627
,,,
903292214,2,3,0.373829477
,,,
903430744,3,1,0.668046147
,,,
903430744,3,2,0.664124142
,,,
903430744,3,3,0.609096959
,,,
903307335,0,1,0.78375592
,,,
903307335,0,2,0.411352168
,,,
903307335,0,3,0.382828563
,,,
903352025,0,1,0.671346919
,,,
903352025,0,2,0.509358822
,,,
903352025,0,3,0.467972707
,,,
903337531,3,1,0.780690904
,,,
903337531,3,2,0.473764753
,,,
903337531,3,3,0.331887553
,,,
903183764,0,1,0.461086392
,,,
903183764,0,2,0.534585288
,,,
903183764,0,3,0.316050921
,,,
902994265,0,1,0.612150435
,,,
902994265,0,2,0.527540443
,,,
902994265,0,3,0.517038619
,,,
903339276,2,1,0.738765036
,,,
903339276,2,2,0.749808571
,,,
903339276,2,3,0.48861505
,,,
903391063,3,1,0.68156424
,,,
903391063,3,2,0.74159598
,,,
903391063,3,3,0.391676416
,,,
903326444,1,1,0.444306302
,,,
903326444,1,2,0.411282057
,,,
903326444,1,3,0.312863617
,,,
903428888,2,1,0.749954732
,,,
903428888,2,2,0.386128232
,,,
903428888,2,3,0.309843652
,,,
903350389,1,1,0.602215436
,,,
903350389,1,2,0.601131876
,,,
903350389,1,3,0.385931477
